BHK,Location,Size(sq.ft),Deposit(Rs),Rent(Rs),Furnishing,Property Age,Available For
2,Ganganagar,1000,130000,16000,Semi Furnished,5-10 years ,All
2,Electronic City,1250,100000,15000,Full Furnished,Newly Constructed,Family
2,Brookefield,1285,175000,30000,Semi Furnished,5-10 years ,All
3,Hsr Layout,1600,150000,26000,Semi Furnished,5-10 years ,All
2,Ramamurthy Nagar,1300,200000,23000,Full Furnished,5-10 years ,Family
2,Vijayanagar,1200,150000,15000,Semi Furnished,>10 years ,All
3,Chinnapanna Halli,1500,50000,22000,Semi Furnished,5-10 years ,All
2,Dhanalakshmi Layout,1500,100000,11000,Semi Furnished,1-3 years ,Family
1,Jogupalya,600,100000,14500,Semi Furnished,5-10 years ,Family
3,Bellandur,1640,100000,30000,Full Furnished,3-5 years ,All
2,Bellandur,1220,100000,21000,Semi Furnished,5-10 years ,All
2,Electronic City,650,50000,12000,Semi Furnished,Newly Constructed,All
2,Hebbal,1400,50000,16800,Full Furnished,>10 years ,All
3,Bellandur,1803,300000,45000,Semi Furnished,3-5 years ,Family
1,Choodasandra,465,50000,7000,Full Furnished,3-5 years ,All
1,Bommanahalli,720,50000,7500,Semi Furnished,5-10 years ,Family
4,Banashankari,1650,400000,40000,Semi Furnished,>10 years ,All
2,K R Puram,1050,50000,14000,Semi Furnished,1-3 years ,All
2,Koramangala 1st Block,600,70000,12000,Semi Furnished,>10 years ,All
2,Krishnarajapura,1218,100000,18000,Semi Furnished,Newly Constructed,Family
2,Armane Nagar,900,100000,18000,Semi Furnished,5-10 years ,All
3,Bellandur,1200,150000,29000,Full Furnished,5-10 years ,Family
2,Jp Nagar,900,150000,21000,Semi Furnished,>10 years ,All
2,Hsr Layout,600,80000,19000,Semi Furnished,1-3 years ,All
4,H S R Layout,3000,300000,42000,Semi Furnished,5-10 years ,All
2,Banaswadi,1117,140000,25500,Semi Furnished,Newly Constructed,Family
1,Btm 2nd Stage,275,30000,9000,Semi Furnished,1-3 years ,All
3,Electronic City,1700,100000,25000,Semi Furnished,5-10 years ,All
1,Devinagar,400,50000,7000,Semi Furnished,5-10 years ,Family
2,Pai Layout,1100,100000,22000,Semi Furnished,>10 years ,Family
2,Hsr Layout Sector 5,1340,125000,22000,Semi Furnished,5-10 years ,Family
1,Chellikere,400,30000,6000,Semi Furnished,3-5 years ,All
2,Singapura,1750,100000,12000,Semi Furnished,Newly Constructed,All
2,Panathur,1000,80000,18000,Semi Furnished,Newly Constructed,Family
2,Bellandur,1100,100000,24000,Semi Furnished,3-5 years ,Family
2,Gottigere,1040,100000,15000,Semi Furnished,1-3 years ,Family
2,Singasandra,1100,80000,13000,Semi Furnished,5-10 years ,All
2,Bellandur,1400,150000,27000,Full Furnished,>10 years ,All
2,Vijaya Nagar,1050,100000,15000,Semi Furnished,>10 years ,All
1,Marathahalli,500,40000,9500,Semi Furnished,1-3 years ,All
2,Brookefield,1354,150000,31000,Semi Furnished,5-10 years ,All
2,Koramangala,1200,60000,14000,Semi Furnished,3-5 years ,All
2,Domlur,1635,200000,42000,Semi Furnished,>10 years ,Family
3,Bellandur,2666,300000,60000,Semi Furnished,3-5 years ,Family
2,Harlur,1200,150000,21000,Semi Furnished,5-10 years ,All
2,Basavanagar,1000,150000,19500,Semi Furnished,>10 years ,Family
3,Indiranagar,1750,650000,49369,Semi Furnished,>10 years ,All
3,Indira Nagar,1200,200000,30000,Semi Furnished,>10 years ,All
3,Kanakapura Road,1480,100000,17000,Semi Furnished,Newly Constructed,All
1,Whitefield,500,30000,9000,Semi Furnished,Newly Constructed,All
2,Kalyan Nagar,1000,75000,18000,Semi Furnished,1-3 years ,Family
2,Chelekere Circle,880,70000,16000,Semi Furnished,1-3 years ,All
2,Krishnarajapura,1297,150000,31000,Semi Furnished,>10 years ,Family
2,Beml Gate (towards Hal Main Gate),1200,125000,20000,Semi Furnished,>10 years ,Family
2,Kasturi Nagar,1200,200000,23000,Semi Furnished,1-3 years ,Family
3,Sahakar Nagar,2600,300000,32000,Semi Furnished,>10 years ,Family
2,Krishnarajapura,1212,150000,30000,Semi Furnished,3-5 years ,All
2,Rajajinagar,1050,100000,23000,Semi Furnished,>10 years ,Family
3,Yeshwanthpur,1300,200000,20000,Semi Furnished,>10 years ,Family
3,Marathahalli,1500,250000,32000,Semi Furnished,>10 years ,Family
1,Varthur,475,25000,6500,Semi Furnished,3-5 years ,All
2,Medahalli,1200,80000,17000,Semi Furnished,Newly Constructed,All
2,Munnekollal,1150,200000,21000,Semi Furnished,3-5 years ,Family
3,Vidyaranyapura,1467,150000,21000,Semi Furnished,1-3 years ,Family
2,Btm 2nd Stage,700,150000,19000,Semi Furnished,Newly Constructed,Family
3,Ramamurthy Nagar,2200,250000,30000,Semi Furnished,>10 years ,Family
2,Electronic City,1225,150000,19000,Semi Furnished,1-3 years ,Family
2,Banashankari,1200,100000,10000,Semi Furnished,5-10 years ,All
3,Whitefield,1620,150000,23000,Semi Furnished,3-5 years ,Family
3,Whitefield,2160,180000,44000,Full Furnished,5-10 years ,All
2,Bellandur,1400,100000,27000,Semi Furnished,3-5 years ,All
1,Jakkuru,1000,100000,11000,Semi Furnished,Newly Constructed,All
3,Bellandur,1464,125000,22500,Semi Furnished,>10 years ,Family
3,Kengeri,1400,100000,14000,Full Furnished,3-5 years ,Family
2,Hsr Layout,1000,230000,23000,Semi Furnished,>10 years ,All
1,Horamavu Agara Road,440,50000,8000,Semi Furnished,Newly Constructed,All
2,Bilekahalli,1000,140000,19000,Semi Furnished,3-5 years ,Family
2,Bellandur,1274,100000,25000,Semi Furnished,3-5 years ,All
2,Rt Nagar,800,100000,16800,Semi Furnished,Newly Constructed,All
4,Indiranangar,2700,200000,33000,Semi Furnished,>10 years ,All
3,Jakkuru,2470,120000,35000,Semi Furnished,3-5 years ,All
3,Kadabeesanahalli,1826,240000,40000,Semi Furnished,3-5 years ,All
2,Vittasandra,1300,40000,16000,Semi Furnished,1-3 years ,All
3,Chamarajpet,1750,363000,33000,Semi Furnished,>10 years ,Family
2,Dollar Layout,1300,200000,23000,Semi Furnished,>10 years ,Family
2,Chikkanahalli,1145,160000,27000,Semi Furnished,Newly Constructed,All
2,Chikkalasandra,900,100000,15000,UnFurnished,Newly Constructed,Family
2,Gunjur Village,1190,90000,17000,Semi Furnished,Newly Constructed,Family
2,Byraveshwaranagara,900,135000,14000,Semi Furnished,3-5 years ,Family
2,Lakshminarayanapuram,715,125000,18000,Full Furnished,5-10 years ,Family
1,Jp Nagar,700,42000,12000,Semi Furnished,5-10 years ,All
3,Subramanyapura,1590,190000,19000,Semi Furnished,1-3 years ,All
2,Battarahalli,1200,50000,11000,Semi Furnished,3-5 years ,All
2,Kadugodi,1200,90000,22000,Semi Furnished,3-5 years ,Family
3,Rt Nagar,1200,100000,18000,Semi Furnished,5-10 years ,All
2,Benson Town,950,150000,28000,Full Furnished,3-5 years ,All
2,Doddakannalli,1200,100000,20000,Semi Furnished,Under Construction,Family
2,Doddakannalli,1200,100000,20000,Semi Furnished,Under Construction,Family
2,Indira Nagar,1200,150000,25000,Semi Furnished,>10 years ,All
2,C V Raman Nagar,1200,140000,21000,Semi Furnished,>10 years ,All
2,Adugodi,650,50000,12000,UnFurnished,>10 years ,All
1,Jp Nagar 8thphase,600,60000,6000,Semi Furnished,Newly Constructed,Family
2,Kalena Agrahara,1100,110000,20000,Full Furnished,Newly Constructed,Family
3,Ramamurthy Nagar,1500,150000,18000,Semi Furnished,3-5 years ,Family
3,Whitefield,1900,150000,27500,Semi Furnished,>10 years ,All
2,Haralur,1145,100000,20000,Semi Furnished,3-5 years ,Family
4,Krishnarajapura,3000,400000,48000,Semi Furnished,5-10 years ,All
1,Yelahanka New,500,75000,7500,Semi Furnished,5-10 years ,All
2,Chikkabellandur,1235,150000,27000,Semi Furnished,Newly Constructed,All
2,Rr Nagar,850,130000,13000,Semi Furnished,1-3 years ,All
1,Basavanagudi,750,100000,12000,Semi Furnished,>10 years ,All
2,Electronic City,1050,60000,12000,Semi Furnished,5-10 years ,Family
3,hulimavu,1800,200000,34250,Semi Furnished,1-3 years ,Family
2,Marathahalli,1080,60000,18500,Semi Furnished,5-10 years ,All
3,Harlur,1395,200000,35000,Semi Furnished,1-3 years ,All
2,,1272,240000,24000,Full Furnished,5-10 years ,All
2,Begur,1200,50000,12000,Semi Furnished,3-5 years ,All
2,Gunjur Village,1216,100000,28000,Semi Furnished,Newly Constructed,All
2,Kaikondanarhalli,1210,150000,25000,Semi Furnished,5-10 years ,Family
3,Varthur,1346,200000,34000,UnFurnished,Newly Constructed,Family
3,Gunjur Palya,1901,100000,32000,Semi Furnished,Newly Constructed,All
2,Gunjur Village,1216,150000,30000,Semi Furnished,Newly Constructed,Family
3,Akshayanagar,1410,100000,22000,Semi Furnished,3-5 years ,All
3,Seegehalli,1683,100000,25000,Semi Furnished,3-5 years ,Family
2,Banashankari Temple Ward,600,100000,12000,Semi Furnished,5-10 years ,Family
2,Marathahalli,800,50000,12000,Semi Furnished,Newly Constructed,All
1,Kodathi,400,30000,7500,Semi Furnished,Newly Constructed,All
3,Shivaji Nagar,1400,200000,38000,Semi Furnished,Newly Constructed,All
2,Murugeshpalya,900,80000,20000,UnFurnished,>10 years ,All
1,Munnekollal,580,40000,13000,Semi Furnished,Newly Constructed,All
3,Whitefield,1700,150000,28000,Semi Furnished,5-10 years ,Family
3,Kaikondrahalli,1550,100000,39000,Semi Furnished,3-5 years ,All
2,Rajajinagar,1000,260000,26000,Semi Furnished,1-3 years ,Family
3,Hebbal Kempapura,1525,200000,19500,Semi Furnished,>10 years ,All
3,Whitefield,1630,175000,29000,Semi Furnished,1-3 years ,Family
1,Kadugodi,600,25000,6500,Semi Furnished,1-3 years ,All
3,Shanti Nagar,2500,550000,50000,Semi Furnished,5-10 years ,All
2,Mathikere,960,100000,16000,Semi Furnished,5-10 years ,Family
2,Vijayanagar,1200,250000,25000,Semi Furnished,Newly Constructed,Family
4,Whitefield,4000,350000,56000,Semi Furnished,3-5 years ,All
3,Adugodi,1744,500000,52000,Semi Furnished,>10 years ,Family
2,Whitefield,1300,150000,20000,Semi Furnished,5-10 years ,All
3,Padmanabhanagar,1350,220000,22000,Semi Furnished,1-3 years ,All
3,Krishnarajapura,1450,100000,19000,Semi Furnished,1-3 years ,Family
3,Mariyannapalya Vegetable Shop,1400,200000,18000,Semi Furnished,5-10 years ,All
3,Kadugodi,1348,100000,20000,Semi Furnished,1-3 years ,Family
3,Gcn White Palms,1574,150000,26000,Semi Furnished,3-5 years ,All
3,Thanisandra,1450,120000,23000,Semi Furnished,5-10 years ,All
3,Konanakunte,2104,500000,48000,Semi Furnished,Newly Constructed,All
2,,950,150000,16000,Semi Furnished,1-3 years ,Family
2,Kaikondrahalli,650,70000,17500,Semi Furnished,Newly Constructed,All
2,Nagondanahalli,1050,100000,19000,Semi Furnished,Newly Constructed,All
2,Sudhama Nagar,1050,200000,30000,Semi Furnished,5-10 years ,All
2,Mahadevpura,650,50000,15000,Semi Furnished,1-3 years ,All
2,Mahadevpura,600,50000,15000,Semi Furnished,Newly Constructed,All
4,Jayanagar,2000,200000,29000,UnFurnished,>10 years ,Family
3,Banaswadi,1750,200000,30000,Semi Furnished,3-5 years ,All
3,Koramangala,1200,200000,30000,Semi Furnished,1-3 years ,Family
3,Adugodi,1744,800000,80000,Full Furnished,>10 years ,All
3,Indiranagar,1200,200000,15800,UnFurnished,>10 years ,Family
2,10th Cross Road,1100,200000,20000,Semi Furnished,>10 years ,Family
2,Hbr Layout,1263,100000,20000,Semi Furnished,>10 years ,All
2,Kadubeesanahalli,1050,150000,23000,Semi Furnished,5-10 years ,Family
3,Whitefield,1415,100000,23500,Semi Furnished,1-3 years ,All
3,Electronic City,1725,130000,28000,Full Furnished,3-5 years ,All
2,Chikkabellandur,1187,150000,23000,Semi Furnished,Newly Constructed,All
3,Marathahalli,1370,100000,25000,Full Furnished,3-5 years ,All
2,Domlur Layout,850,100000,19000,UnFurnished,>10 years ,All
2,Electronic City,970,70000,17000,Full Furnished,5-10 years ,Family
2,Electronic City,850,50000,13000,Semi Furnished,1-3 years ,All
1,Gm Palya,400,50000,10500,Semi Furnished,3-5 years ,All
2,Kaikondrahalli,1250,120000,24000,Semi Furnished,1-3 years ,Family
2,Brookefield,1081,100000,18500,Semi Furnished,5-10 years ,Family
2,Nagarbhavi,550,60000,13000,Semi Furnished,Newly Constructed,Family
3,Koramangla,1440,200000,33500,Full Furnished,>10 years ,All
2,Ejipura,900,100000,20000,Full Furnished,3-5 years ,All
2,Whitefield,1100,100000,17000,Semi Furnished,1-3 years ,Family
2,Whitefield,1100,100000,17000,Semi Furnished,1-3 years ,Family
2,Mallathahalli,900,125000,13000,Semi Furnished,1-3 years ,All
2,Mahadevapura,900,75000,13000,Semi Furnished,1-3 years ,All
1,Hope Farm Signal White Field Road,450,40000,11000,Semi Furnished,Newly Constructed,All
2,Bommanahalli,1025,57000,19000,Semi Furnished,Newly Constructed,All
2,Dodda Banaswadi,950,70000,13000,Semi Furnished,5-10 years ,All
2,Hoodi,1000,80000,12000,Semi Furnished,5-10 years ,All
2,Bilekahalli,1100,100000,16000,Semi Furnished,>10 years ,Family
3,Marathahalli,1200,60000,23000,Full Furnished,5-10 years ,All
2,Brookefield,1776,100000,30000,Full Furnished,5-10 years ,All
2,Dooravani Nagar,1075,100000,20000,Semi Furnished,Newly Constructed,All
3,Hsr Layout,1331,200000,33000,Semi Furnished,1-3 years ,All
3,Bellandur,1547,120000,22000,Semi Furnished,>10 years ,Family
3,Thanisandra,1590,150000,27500,Semi Furnished,1-3 years ,All
3,Sanjaynagar,1700,150000,28000,Semi Furnished,5-10 years ,Family
2,Kasturi Nagar,1200,100000,20000,Semi Furnished,3-5 years ,Bachelors
2,Thanisandra,1240,60000,16000,Semi Furnished,3-5 years ,All
2,Sheshadripura,850,100000,19000,Semi Furnished,>10 years ,All
3,Whitefield,1614,100000,17500,Semi Furnished,5-10 years ,Family
2,New Tippasandra,950,100000,21000,UnFurnished,1-3 years ,Family
1,Basaveshwara Nagar,600,80000,10000,Semi Furnished,5-10 years ,All
3,Rk Hegde Nagar,1442,100000,23000,Semi Furnished,1-3 years ,All
3,Doddanekkundi,1420,150000,26000,Semi Furnished,5-10 years ,All
2,Jakkuru,993,100000,16000,Semi Furnished,>10 years ,All
2,Munnekollal,1355,100000,21000,Semi Furnished,5-10 years ,Family
2,Rr Nagar,1376,250000,24000,Semi Furnished,Newly Constructed,All
3,Hennur Road,1778,300000,28000,Semi Furnished,3-5 years ,Family
1,Rr Nagar,250,30000,5000,Semi Furnished,1-3 years ,All
2,Mahadevapura,1250,220000,21000,Semi Furnished,Newly Constructed,Family
2,Horamavu,1150,300000,30000,Full Furnished,1-3 years ,All
3,Brookefield,1546,150000,29000,Semi Furnished,1-3 years ,Family
4,Jeevan Bima Nagar,1800,250000,35000,Semi Furnished,>10 years ,Family
2,Whitefield,1050,100000,26000,Semi Furnished,Newly Constructed,All
3,Panathur,1300,125000,21500,Semi Furnished,1-3 years ,Family
2,Bommanahalli,950,50000,14000,Semi Furnished,1-3 years ,Family
2,Nagasandra,1098,150000,17000,Full Furnished,1-3 years ,All
2,Panathur,1300,30000,15000,Semi Furnished,5-10 years ,All
2,Sampigehalli,1166,100000,17000,Semi Furnished,Newly Constructed,Family
2,Electronic City,1200,100000,15000,Semi Furnished,5-10 years ,Family
3,Btm 2nd Stage,1350,200000,25000,Semi Furnished,3-5 years ,Family
3,Bellandur,1600,150000,29000,Semi Furnished,>10 years ,All
3,Nagavara,1580,200000,35000,Full Furnished,3-5 years ,All
1,Whitefield,450,50000,12000,Semi Furnished,Newly Constructed,Company
2,Halasuru,900,120000,16000,UnFurnished,5-10 years ,Family
2,Hulimavu,1000,80000,14500,Semi Furnished,Newly Constructed,Family
2,Kaikondrahalli,1050,150000,25000,Semi Furnished,1-3 years ,All
3,Kadugodi,1839,250000,36000,Semi Furnished,Newly Constructed,Family
3,Bellandur,1740,150000,39000,Full Furnished,>10 years ,All
2,Hsr Layout,1200,150000,26000,Semi Furnished,Newly Constructed,All
1,Electronic City,720,45000,7500,Semi Furnished,5-10 years ,All
2,Munikondappa Layout,600,100000,12000,Semi Furnished,5-10 years ,Family
2,Binnipete,1357,300000,45000,Semi Furnished,Newly Constructed,All
2,Rt Nagar,1400,150000,23000,Semi Furnished,1-3 years ,Family
2,Marathahalli,1080,60000,19000,Semi Furnished,>10 years ,All
2,Ramamurthy Nagar,1500,75000,15000,Full Furnished,1-3 years ,All
2,Whitefield,1130,90000,19000,Semi Furnished,1-3 years ,All
1,Hsr Layout,500,30000,10000,Semi Furnished,1-3 years ,All
2,Mahadevapura,1100,90000,14999,Semi Furnished,>10 years ,All
2,Uttarahalli Hobli,1339,100000,16000,Semi Furnished,>10 years ,All
2,Doddakannelli,1100,50000,18000,Semi Furnished,3-5 years ,Family
2,Dommasandra,650,75000,12000,Semi Furnished,3-5 years ,Family
3,Whitefield,1425,150000,35000,Full Furnished,1-3 years ,All
2,Thubarahalli,1145,100000,21000,Semi Furnished,5-10 years ,All
1,Hsr Layout,350,60000,7000,Semi Furnished,1-3 years ,All
2,Hsr Layout,1000,125000,23000,Semi Furnished,5-10 years ,Family
2,Whitefield,1093,57000,18500,Semi Furnished,3-5 years ,Family
3,Kudlu Gate,1691,150000,37000,Semi Furnished,1-3 years ,All
2,Btm Layout,1100,100000,19000,UnFurnished,>10 years ,Family
2,Nri Layout,1261,100000,17000,Semi Furnished,3-5 years ,Family
2,J. P. Nagar,1350,300000,32000,Semi Furnished,5-10 years ,Family
2,Malleshwaram,820,125000,20000,Semi Furnished,>10 years ,All
3,Rk Hegde Nagar,1697,245000,32000,Semi Furnished,3-5 years ,All
2,Horamavu,1100,160000,16500,Semi Furnished,Newly Constructed,All
2,Kodihalli,1650,150000,37000,Full Furnished,>10 years ,All
2,8th Main 13th A Cross Btm 2nd Stage,950,100000,20000,Semi Furnished,5-10 years ,All
4,Singasandra,2850,500000,50000,Semi Furnished,3-5 years ,All
2,Electronic City,1060,90000,15000,Semi Furnished,Newly Constructed,Family
2,Banashankari,800,160000,16000,Semi Furnished,3-5 years ,Family
2,Btm Layout,600,75000,13500,Semi Furnished,5-10 years ,All
2,C V Raman Nagar,1000,150000,https://images.nobroker.in/images/ff8081814ebf8598014ec3a1193c0fe7/ff8081814ebf8598014ec3a1193c0fe7_67033_53733_medium.jpg,Semi Furnished,5-10 years ,All
3,Jnana Ganga Nagar,2000,130000,24000,Semi Furnished,3-5 years ,All
2,Banashankari,1200,250000,25000,Full Furnished,>10 years ,All
2,Uttarahalli Hobli,800,70000,12000,Semi Furnished,3-5 years ,All
2,Murgesh Pallya,800,30000,8000,Semi Furnished,5-10 years ,All
2,Bommanahalli,950,100000,15000,Semi Furnished,3-5 years ,Family
3,Yelahanka,1853,120000,20000,Semi Furnished,1-3 years ,All
3,Munnekollal,1535,140000,26000,Semi Furnished,5-10 years ,All
3,Whitefield,1750,270000,39000,Semi Furnished,5-10 years ,Family
3,Kengeri Hobli,1082,100000,14000,Semi Furnished,Newly Constructed,Family
2,Whitefield,1250,150000,27000,Semi Furnished,Newly Constructed,Family
3,Bellandur,1250,125000,32000,Full Furnished,5-10 years ,All
3,Hsr Layout,750,125000,20000,Semi Furnished,>10 years ,Family
2,Thanisandra,1328,150000,21500,Semi Furnished,5-10 years ,All
2,Bellandur,1170,100000,18500,Semi Furnished,5-10 years ,All
2,Harlur,1265,120000,32000,Full Furnished,3-5 years ,Family
3,Electronic City,1575,150000,24500,Semi Furnished,1-3 years ,Family
2,Kadubeesanahalli,1100,100000,29000,Semi Furnished,5-10 years ,Family
3,Gunjur Palya,1300,250000,24500,Semi Furnished,Newly Constructed,All
3,Nagenahalli Akc,2162,350000,50000,Full Furnished,1-3 years ,All
2,Brookefield,1054,200000,25000,Semi Furnished,1-3 years ,All
2,Electronics City Phase 1,1070,100000,19000,Full Furnished,1-3 years ,Family
2,Whitefield,1050,75000,19000,Semi Furnished,Newly Constructed,Family
2,Sampigehalli,1441,85000,14000,Semi Furnished,>10 years ,Family
1,Btm Layout 2nd Stage,450,45000,9500,Semi Furnished,1-3 years ,All
2,Murgesh Pallya,985,80000,18500,Semi Furnished,3-5 years ,All
2,Kadubeesanahalli,1310,100000,21000,Full Furnished,5-10 years ,Family
2,Chikkabellandur,1370,150000,28000,Semi Furnished,Newly Constructed,Family
2,Kaggadasapura,1070,150000,25000,Semi Furnished,>10 years ,Family
3,Kothanur,1565,150000,30000,Semi Furnished,>10 years ,All
2,India,1500,75000,12000,Semi Furnished,5-10 years ,Family
1,Electronics City Phase 1,500,40000,9000,Semi Furnished,Newly Constructed,Family
1,Varthur,550,25000,7500,Semi Furnished,1-3 years ,All
2,Horamavu,700,80000,11000,Semi Furnished,Newly Constructed,Family
2,Banashankari Stage Ii,1200,280000,28000,Semi Furnished,3-5 years ,Family
3,Bellandur,1400,70000,22000,Semi Furnished,>10 years ,All
2,Rr Nagar,1000,100000,15000,Semi Furnished,3-5 years ,Family
2,Hoodi,1040,120000,17000,Semi Furnished,>10 years ,All
3,Bellandur,1504,300000,35000,Semi Furnished,1-3 years ,All
2,Marathahalli,1200,200000,22000,Semi Furnished,5-10 years ,All
2,Bellandur,1057,100000,24000,Semi Furnished,>10 years ,All
2,Kaggadasapura,975,85000,16000,Semi Furnished,5-10 years ,Family
2,Ramamurthy Nagar,900,80000,12500,Semi Furnished,3-5 years ,Family
3,Chikkakannalli,1200,120000,22000,Semi Furnished,3-5 years ,All
1,Whitefield,350,75000,12000,Semi Furnished,3-5 years ,Family
1,Whitefield,300,20000,8000,Full Furnished,Newly Constructed,All
2,Nagawara,1128,80000,19000,Semi Furnished,Newly Constructed,Family
3,Whitefield,1465,100000,23000,Semi Furnished,1-3 years ,All
3,Rayasandra,1478,100000,22000,Semi Furnished,5-10 years ,All
